"Internal Reference","Korporat Code","Name","Last Updated on","General State","Copackaging Routing Type/Display Name","MPS Lead Time","Ppc State"
"BOTS-MPASFT50-EM","BOTS-MPASFT50-EM","Botol Sticker Ms. Pimple Acne Solution Face Toner 50 E","2022-06-05 13:35:10","Confirmed","","5","Confirmed"
"BOTS-NBHO30-K","BOTS-NBHO30-K","Botol Sticker NBH Oil 30 K","2022-06-05 13:35:16","Confirmed","","3","Confirmed"
"BOTS-SCMW100R0-W","BOTS-SCMW100R0-W","Botol Sticker ND SC Micellar Water 100 W","2022-06-05 13:35:19","Confirmed","","5","Confirmed"
"BOTS-AHHG100CJP-W","BOTS-AHHG100CJP-W","Botol Sticker Nature Daily Aloe Hydramild Hand Gel 100 CJ Pack W","2022-06-05 13:35:25","Confirmed","","5","Confirmed"
"BOTS-AHHG100R1-W","BOTS-AHHG100R1-W","Botol Sticker Nature Daily Aloe Hydramild Hand Gel 100 R1 W","2022-06-05 13:35:31","Confirmed","","5","Confirmed"
"BOTS-AHHG100-W","BOTS-AHHG100-W","Botol Sticker Nature Daily Aloe Hydramild Hand Gel 100 W","2022-06-05 13:35:37","Confirmed","","5","Confirmed"
"BOTS-AHHG240R0-W","BOTS-AHHG240R0-W","Botol Sticker Nature Daily Aloe Hydramild Hand Gel 240 W","2022-06-05 13:35:43","Confirmed","","5","Confirmed"
"BOTS-PLGMR0-MO","BOTS-PLGMR0-MO","Botol Sticker Powerskin Liquid Glow Moisturizer MO (Pc(s))","2022-06-05 13:36:04","Confirmed","","5","Confirmed"
"BOTS-PRTM10-MO","BOTS-PRTM10-MO","Botol Sticker Powerskin Radiant Tinted Moisturizer 10 Light Make Over (Pc(s))","2022-06-05 13:36:10","Confirmed","","5","Confirmed"
"BOTS-PRTM40R0-MO","BOTS-PRTM40R0-MO","Botol Sticker Powerskin Radiant Tinted Moisturizer 40 ml MO","2022-06-05 13:36:41","Confirmed","","5","Confirmed"
"BOTS-PWCM42R0-MO","BOTS-PWCM42R0-MO","Botol Sticker Powerskin Water Charge Moisturizer 42 MO","2022-06-05 13:36:49","Confirmed","","5","Confirmed"
"BOTS-PWCM42R1-MO","BOTS-PWCM42R1-MO","Botol Sticker Powerskin Water Charge Moisturizer 42 R1 MO","2022-06-05 13:36:58","Confirmed","","5","Confirmed"
"BOTS-ROFOHE60-W","BOTS-ROFOHE60-W","Botol Sticker Roll On For Her Wardah 60 ML","2022-06-05 13:37:18","Confirmed","","5","Confirmed"
"BOTS-ROFOHI60-W","BOTS-ROFOHI60-W","Botol Sticker Roll On For Him Wardah 60 ML","2022-06-05 13:37:29","Confirmed","","5","Confirmed"
"BOTS-SBLE200-W","BOTS-SBLE200-W","Botol Sticker Scentation Body Lotion Eternal 200 ml Wardah","2022-06-05 13:37:41","Confirmed","","5","Confirmed"
"BOTS-SBLI200-X","BOTS-SBLI200-X","Botol Sticker Scentation Body Lotion Innocence 200 ml Warda","2022-06-05 13:37:51","Confirmed","","5","Confirmed"
"BOTS-SBLS200-W","BOTS-SBLS200-W","Botol Sticker Scentation Body Lotion Shine 200 ml Wardah","2022-06-05 13:38:02","Confirmed","","5","Confirmed"
"BOTS-SCBMB100-W","BOTS-SCBMB100-W","Botol Sticker Scentation Body Mist Bliss 100 ml Wardah (Pc(","2022-06-05 13:38:14","Confirmed","","5","Confirmed"
"BOTS-SCBMJF100-W","BOTS-SCBMJF100-W","Botol Sticker Scentation Body Mist Joyful 100 ml Wardah (Pc","2022-06-05 13:38:26","Confirmed","","5","Confirmed"
"BOTS-SCBMPC100-W","BOTS-SCBMPC100-W","Botol Sticker Scentation Body Mist Peaceful 100 ml Wardah (","2022-06-05 13:38:48","Confirmed","","5","Confirmed"
"BOTS-SCBMPR100-W","BOTS-SCBMPR100-W","Botol Sticker Scentation Body Mist Purity 100 ml Wardah (Pc","2022-06-05 13:38:59","Confirmed","","5","Confirmed"
"BOTS-SBLF200-W","BOTS-SBLF200-W","Botol Sticker Scentation body Lotion Flame 200 ml Wardah","2022-06-05 13:39:11","Confirmed","","5","Confirmed"
