"id","snfg_id/display_name","name","product_id/display_name","fro_sediaan","scheduled_start","scheduled_finished","picking_type_id/display_name","mo_id/display_name","state","fro_stream_line"
"__export__.mfg_snfg_line_2450_c69e0723","L-MLCC-OMG/H0022","MO-L-MLCC-BULK/H0024","[L-MLCC-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001172","Confirmed","A"
"__export__.mfg_snfg_line_2451_a256cd12","L-MLCD-OMG/H0025","L-MLCD-OMG/H0025","[80004] OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001142","Confirmed","A"
"__export__.mfg_snfg_line_2452_4d100cbd","L-MLCD-OMG/H0025","MO-L-MLCD-BULK/H0026","[L-MLCD-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001173","Confirmed","A"
"__export__.mfg_snfg_line_2453_4df18940","L-MLCE-OMG/H0042","L-MLCE-OMG/H0042","[80005] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001143","Confirmed","A"
"__export__.mfg_snfg_line_2454_6d2fff5c","L-MLCE-OMG/H0042","MO-L-MLCE-BULK/H0044","[L-MLCE-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001188","Confirmed","A"
"__export__.mfg_snfg_line_2455_a2170079","L-MLCE-OMG/H0043","L-MLCE-OMG/H0043","[80005] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001145","Confirmed","A"
"__export__.mfg_snfg_line_2456_b657b4d3","L-MLCE-OMG/H0043","MO-L-MLCE-BULK/H0045","[L-MLCE-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001187","Confirmed","A"
"__export__.mfg_snfg_line_2457_e690d176","L-MLCE-OMG/H0044","L-MLCE-OMG/H0044","[80005] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001146","Confirmed","A"
"__export__.mfg_snfg_line_2458_5a3bb6a6","L-MLCE-OMG/H0044","MO-L-MLCE-BULK/H0046","[L-MLCE-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001186","Confirmed","A"
"__export__.mfg_snfg_line_2459_56d21afb","L-MLCF-OMG/H0045","L-MLCF-OMG/H0045","[80006] OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001144","Confirmed","A"
"__export__.mfg_snfg_line_2460_c3d8a534","L-MLCF-OMG/H0045","MO-L-MLCF-BULK/H0045","[L-MLCF-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001174","Confirmed","A"
"__export__.mfg_snfg_line_2461_d8d4dd14","L-MLCG-OMG/H0044","L-MLCG-OMG/H0044","[80007] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001147","Confirmed","A"
"__export__.mfg_snfg_line_2462_84f602a0","L-MLCG-OMG/H0044","MO-L-MLCG-BULK/H0046","[L-MLCG-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001175","Confirmed","A"
"__export__.mfg_snfg_line_2463_b91a0847","L-MLCG-OMG/H0045","L-MLCG-OMG/H0045","[80007] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001148","Confirmed","A"
"__export__.mfg_snfg_line_2464_14fdcce6","L-MLCG-OMG/H0045","MO-L-MLCG-BULK/H0047","[L-MLCG-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001176","Confirmed","A"
"__export__.mfg_snfg_line_2465_50fecb04","L-MLCL-OMG/H0036","L-MLCL-OMG/H0036","[80012] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001149","Confirmed","A"
"__export__.mfg_snfg_line_2466_aa8ef950","L-MLCL-OMG/H0036","MO-L-MLCL-BULK/H0038","[L-MLCL-BULK] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet","S","2022-06-20","2022-06-24","Jatake 4: JTK 4 - Olah","VCI#MO/220001177","Confirmed","A"
"__export__.mfg_snfg_line_2467_da86e753","L-MLCL-OMG/H0037","L-MLCL-OMG/H0037","[80012] OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g","S","2022-06-23","2022-06-24","Jatake 4: JTK 4 - Kemas","VCI#MO/220001150","Confirmed","A"
