Code,Product,Quantity on Hand,Reserved,Available
1621,Wardah Nature Daily Mineral+ Clarifying Facial Foam 60 ml ,12574,0,12574
1623,MAKE OVER Cliquematte Lip Stylo 202 Hollywood 2 g,4012,0,4012
1624,MAKE OVER Cliquematte Lip Stylo 203 Crush 2 g,11296,0,11296
1626,MAKE OVER Cliquematte Lip Stylo 205 Jetsetter 2 g,5631,0,5631
1627,MAKE OVER Cliquematte Lip Stylo 206 Grandiose 2 g,2523,0,2523
1629,MAKE OVER Cliquematte Lip Stylo 208 Spotlight 2 g,2,0,2
1631,Wardah Nature Daily Mineral+ Clarifying Facial Foam 100 ml ,959,0,959
1632,Wardah Lightening Day Cream 30 g (Pc(s)),3,0,3
1638,Wardah Perfect Bright Moisturizer SPF 28 20 ml,288,288,0
1639,Emina Magic Potion 01 Scarlet 5.5 ml,24,0,24
1641,Emina Magic Potion 03 Smitten 5.5 ml,7188,0,7188
1644,Emina Creamatte 08 Pumpkin Spice 5.5 gr ,600,0,600
1645,Emina Creamatte 09 Baby Fox 5.5 gr ,156,0,156
1646,Emina Creamatte 10 Starfish 5.5 gr ,2575,0,2575
1648,Emina Aqua Infused Sleeping Mask 30 g,11689,0,11689
